filter_spec,CC_max_is_a_distance,MF_max_is_a_distance,false_positives,false_negatives,total_mismatches,exact_columns,at_least_99pct,at_least_95pct
best_global_after_qualifier_exclusion,2,10,10,12536,12546,99,102,109
best_global_after_qualifier_exclusion,2,11,10,12536,12546,99,102,109
best_global_after_qualifier_exclusion,2,12,10,12536,12546,99,102,109
best_global_after_qualifier_exclusion,2,99,10,12536,12546,99,102,109
best_global_after_qualifier_exclusion,3,0,13,14461,14474,90,99,108
best_global_after_qualifier_exclusion,3,1,13,13322,13335,90,100,109
best_global_after_qualifier_exclusion,3,2,13,10906,10919,90,100,110
best_global_after_qualifier_exclusion,3,3,13,7894,7907,91,100,113
best_global_after_qualifier_exclusion,3,4,13,5729,5742,92,101,115
best_global_after_qualifier_exclusion,3,5,13,4528,4541,92,103,115
best_global_after_qualifier_exclusion,3,6,13,4022,4035,94,105,117
best_global_after_qualifier_exclusion,3,7,13,3756,3769,96,107,117
best_global_after_qualifier_exclusion,3,8,13,3660,3673,98,108,117
best_global_after_qualifier_exclusion,3,9,13,3644,3657,99,108,117
best_global_after_qualifier_exclusion,3,10,13,3642,3655,100,108,117
best_global_after_qualifier_exclusion,3,11,13,3642,3655,100,108,117
best_global_after_qualifier_exclusion,3,12,13,3642,3655,100,108,117
best_global_after_qualifier_exclusion,3,99,13,3642,3655,100,108,117
best_global_after_qualifier_exclusion,4,0,13,11675,11688,92,105,111
best_global_after_qualifier_exclusion,4,1,13,10536,10549,92,106,112
best_global_after_qualifier_exclusion,4,2,13,8120,8133,92,106,113
best_global_after_qualifier_exclusion,4,3,13,5108,5121,93,106,116
best_global_after_qualifier_exclusion,4,4,13,2943,2956,94,107,118
best_global_after_qualifier_exclusion,4,5,13,1742,1755,94,109,118
best_global_after_qualifier_exclusion,4,6,13,1236,1249,96,111,120
best_global_after_qualifier_exclusion,4,7,13,970,983,98,113,120
best_global_after_qualifier_exclusion,4,8,13,874,887,100,114,120
best_global_after_qualifier_exclusion,4,9,13,858,871,101,114,120
best_global_after_qualifier_exclusion,4,10,13,856,869,102,114,120
best_global_after_qualifier_exclusion,4,11,13,856,869,102,114,120
best_global_after_qualifier_exclusion,4,12,13,856,869,102,114,120
best_global_after_qualifier_exclusion,4,99,13,856,869,102,114,120
best_global_after_qualifier_exclusion,5,0,13,11055,11068,96,110,112
best_global_after_qualifier_exclusion,5,1,13,9916,9929,96,111,113
best_global_after_qualifier_exclusion,5,2,13,7500,7513,96,111,114
best_global_after_qualifier_exclusion,5,3,13,4488,4501,97,111,117
best_global_after_qualifier_exclusion,5,4,13,2323,2336,98,112,119
best_global_after_qualifier_exclusion,5,5,13,1122,1135,98,114,119
best_global_after_qualifier_exclusion,5,6,13,616,629,100,116,121
best_global_after_qualifier_exclusion,5,7,13,350,363,102,118,121
best_global_after_qualifier_exclusion,5,8,13,254,267,104,119,121
best_global_after_qualifier_exclusion,5,9,13,238,251,105,119,121
best_global_after_qualifier_exclusion,5,10,13,236,249,106,119,121
best_global_after_qualifier_exclusion,5,11,13,236,249,106,119,121
best_global_after_qualifier_exclusion,5,12,13,236,249,106,119,121
best_global_after_qualifier_exclusion,5,99,13,236,249,106,119,121
best_global_after_qualifier_exclusion,6,0,13,10899,10912,96,111,112
best_global_after_qualifier_exclusion,6,1,13,9760,9773,96,112,113
best_global_after_qualifier_exclusion,6,2,13,7344,7357,96,112,114
best_global_after_qualifier_exclusion,6,3,13,4332,4345,97,112,117
best_global_after_qualifier_exclusion,6,4,13,2167,2180,98,113,119
best_global_after_qualifier_exclusion,6,5,13,966,979,98,115,119
best_global_after_qualifier_exclusion,6,6,13,460,473,100,117,121
best_global_after_qualifier_exclusion,6,7,13,194,207,102,119,121
best_global_after_qualifier_exclusion,6,8,13,98,111,104,120,121
best_global_after_qualifier_exclusion,6,9,13,82,95,105,120,121
best_global_after_qualifier_exclusion,6,10,13,80,93,106,120,121
best_global_after_qualifier_exclusion,6,11,13,80,93,106,120,121
best_global_after_qualifier_exclusion,6,12,13,80,93,106,120,121
best_global_after_qualifier_exclusion,6,99,13,80,93,106,120,121
best_global_after_qualifier_exclusion,7,0,13,10849,10862,96,112,112
best_global_after_qualifier_exclusion,7,1,13,9710,9723,96,113,113
best_global_after_qualifier_exclusion,7,2,13,7294,7307,96,113,114
best_global_after_qualifier_exclusion,7,3,13,4282,4295,97,113,117
best_global_after_qualifier_exclusion,7,4,13,2117,2130,98,114,119
best_global_after_qualifier_exclusion,7,5,13,916,929,98,116,119
best_global_after_qualifier_exclusion,7,6,13,410,423,100,118,121
best_global_after_qualifier_exclusion,7,7,13,144,157,102,120,121
best_global_after_qualifier_exclusion,7,8,13,48,61,104,121,121
best_global_after_qualifier_exclusion,7,9,13,32,45,105,121,121
best_global_after_qualifier_exclusion,7,10,13,30,43,106,121,121
best_global_after_qualifier_exclusion,7,11,13,30,43,106,121,121
best_global_after_qualifier_exclusion,7,12,13,30,43,106,121,121
