version,GO_ID,present_in_C5,C5_XML_order,C5_standard_name,C5_systematic_name
6.0,GO:0006950,0,,,
6.0,GO:0006996,0,,,
6.0,GO:0007165,0,,,
6.0,GO:0008150,0,,,
6.0,GO:0008152,0,,,
6.0,GO:0009889,0,,,
6.0,GO:0009891,1,12721,GO_POSITIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS,M11409
6.0,GO:0009892,0,,,
6.0,GO:0009893,0,,,
6.0,GO:0009966,0,,,
6.0,GO:0009987,0,,,
6.0,GO:0010468,0,,,
6.0,GO:0010556,0,,,
6.0,GO:0010557,0,,,
6.0,GO:0010604,0,,,
6.0,GO:0010605,0,,,
6.0,GO:0010628,1,12968,GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION,M11802
6.0,GO:0010646,0,,,
6.0,GO:0016020,0,,,
6.0,GO:0016043,0,,,
6.0,GO:0016740,0,,,
6.0,GO:0019219,0,,,
6.0,GO:0019222,0,,,
6.0,GO:0019538,0,,,
6.0,GO:0023051,0,,,
6.0,GO:0031323,0,,,
6.0,GO:0031324,0,,,
6.0,GO:0031325,0,,,
6.0,GO:0031326,0,,,
6.0,GO:0031328,0,,,
6.0,GO:0031399,1,15312,GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS,M15426
6.0,GO:0031982,0,,,
6.0,GO:0032268,0,,,
6.0,GO:0032502,0,,,
6.0,GO:0032879,0,,,
6.0,GO:0032991,0,,,
6.0,GO:0034641,0,,,
6.0,GO:0036211,0,,,
6.0,GO:0042221,0,,,
6.0,GO:0043170,0,,,
6.0,GO:0043226,0,,,
6.0,GO:0043227,0,,,
6.0,GO:0043228,0,,,
6.0,GO:0043229,0,,,
6.0,GO:0043230,0,,,
6.0,GO:0043231,0,,,
6.0,GO:0043232,0,,,
6.0,GO:0043234,0,,,
6.0,GO:0043412,0,,,
6.0,GO:0043933,0,,,
6.0,GO:0044237,0,,,
6.0,GO:0044238,0,,,
6.0,GO:0044260,0,,,
6.0,GO:0044267,0,,,
6.0,GO:0044421,0,,,
6.0,GO:0044422,0,,,
6.0,GO:0044424,0,,,
6.0,GO:0044425,0,,,
6.0,GO:0044428,0,,,
6.0,GO:0044444,0,,,
6.0,GO:0044446,0,,,
6.0,GO:0044464,0,,,
6.0,GO:0044699,0,,,
6.0,GO:0044710,0,,,
6.0,GO:0044763,0,,,
6.0,GO:0044765,0,,,
6.0,GO:0044767,0,,,
6.0,GO:0044822,1,17570,GO_POLY_A_RNA_BINDING,M18908
6.0,GO:0045935,0,,,
6.0,GO:0048518,0,,,
6.0,GO:0048519,0,,,
6.0,GO:0048522,0,,,
6.0,GO:0048523,0,,,
6.0,GO:0048583,0,,,
6.0,GO:0048584,1,12261,GO_POSITIVE_REGULATION_OF_RESPONSE_TO_STIMULUS,M10700
6.0,GO:0050789,0,,,
6.0,GO:0050793,0,,,
6.0,GO:0050794,0,,,
6.0,GO:0050896,0,,,
6.0,GO:0051128,0,,,
6.0,GO:0051171,0,,,
6.0,GO:0051173,0,,,
6.0,GO:0051179,0,,,
6.0,GO:0051234,0,,,
6.0,GO:0051239,0,,,
6.0,GO:0051246,0,,,
6.0,GO:0051252,0,,,
6.0,GO:0051254,0,,,
6.0,GO:0051716,0,,,
6.0,GO:0060255,0,,,
6.0,GO:0065007,0,,,
6.0,GO:0065008,0,,,
6.0,GO:0065009,0,,,
6.0,GO:0070062,0,,,
6.0,GO:0071704,0,,,
6.0,GO:0071840,0,,,
6.0,GO:0080090,0,,,
6.0,GO:0097159,0,,,
6.0,GO:1901360,0,,,
6.0,GO:1901363,0,,,
6.0,GO:1902578,0,,,
6.0,GO:1902589,0,,,
6.0,GO:1903506,0,,,
6.0,GO:1903561,0,,,
6.0,GO:2000112,0,,,
6.0,GO:2001141,0,,,
