version,scope,label_column,best_mismatches,best_agreement,best_set_names,best_set_tie_count
5.0,ALL,57,578,0.8645735707591378,REGULATION_OF_KINASE_ACTIVITY|REGULATION_OF_PROTEIN_KINASE_ACTIVITY|REGULATION_OF_TRANSFERASE_ACTIVITY,3
5.0,ALL,58,572,0.865979381443299,ESTABLISHMENT_AND_OR_MAINTENANCE_OF_CHROMATIN_ARCHITECTURE,1
5.0,ALL,59,667,0.8437207122774133,TRANSCRIPTION,1
5.0,ALL,60,1412,0.669165885660731,POSITIVE_REGULATION_OF_BIOLOGICAL_PROCESS,1
5.0,ALL,61,575,0.8652764761012184,TRANSPORT,1
5.0,ALL,62,757,0.8226335520149953,REGULATION_OF_TRANSPORT,1
5.0,ALL,63,592,0.8612933458294283,PROTEIN_MODIFICATION_PROCESS,1
5.0,ALL,64,710,0.8336457357075914,RESPONSE_TO_DNA_DAMAGE_STIMULUS,1
5.0,ALL,65,493,0.8844892221180881,SUBSTRATE_SPECIFIC_TRANSPORTER_ACTIVITY,1
5.0,ALL,66,1852,0.5660731021555764,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.0,ALL,67,1150,0.7305529522024368,MEMBRANE,1
5.0,ALL,68,1324,0.689784442361762,ORGANELLE_PART,1
5.0,ALL,69,858,0.7989690721649485,PROTEIN_COMPLEX,1
5.0,ALL,70,905,0.7879568884723525,ZHONG_SECRETOME_OF_LUNG_CANCER_AND_FIBROBLAST,1
5.0,ALL,71,565,0.8676194939081537,NUCLEOLUS,1
5.0,ALL,72,554,0.8701968134957826,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS|POSITIVE_REGULATION_OF_TRANSCRIPTION,2
5.0,ALL,73,913,0.7860824742268041,REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.0,ALL,74,664,0.8444236176194939,POSITIVE_REGULATION_OF_NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
5.0,ALL,75,701,0.8357544517338331,TRANSPORT,1
5.0,ALL,76,1046,0.7549203373945642,ORGANELLE_ORGANIZATION_AND_BIOGENESIS,1
5.0,ALL,77,497,0.883552014995314,DNA_REPAIR|KAUFFMANN_DNA_REPAIR_GENES,2
5.0,ALL,78,811,0.8099812558575445,REGULATION_OF_GENE_EXPRESSION,1
5.0,ALL,79,669,0.8432521087160263,TRANSCRIPTION,1
5.0,ALL,80,600,0.85941893158388,PROTEIN_MODIFICATION_PROCESS,1
5.0,ALL,81,1826,0.5721649484536082,NUCLEOBASENUCLEOSIDENUCLEOTIDE_AND_NUCLEIC_ACID_METABOLIC_PROCESS,1
