model,filter,row_order,ancestor_order,key_mode,lcs,kendall_tau,pairwise_concordance,exact_positions,exact_prefix,duplicate_flips,unique_dictionary_terms,input_terms,table_size,outer_kind,inner_kind,outer_count,pair_kind,set_policy,pair_count,mask_bits
first_direct_then_ancestors,exact_historical_mapped,accession_GO,bfs_obo,GO_name,21,-0.006611570247933883,0.49669421487603305,0,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,accession_GO,py2set_dfs_35,GO_name,21,-0.006611570247933883,0.49669421487603305,0,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,sorted_asc,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,dfs_pre_obo,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,bfs_obo,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,py2set_dfs_35,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,source,py2set_bfs_35,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,sorted_asc,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,dfs_pre_obo,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,bfs_obo,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,py2set_dfs_35,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,accession_GO,py2set_bfs_35,GO_name,21,-0.07961432506887052,0.4601928374655647,1,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,sorted_asc,GO_name,21,-0.08484848484848484,0.4575757575757576,0,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,dfs_pre_obo,GO_name,21,-0.08484848484848484,0.4575757575757576,0,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,bfs_obo,GO_name,21,-0.08484848484848484,0.4575757575757576,0,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,py2set_dfs_35,GO_name,21,-0.08484848484848484,0.4575757575757576,0,0,011,13302,141790,,,,,,,,
direct_dict_then_propagate_py2keys,exact_historical_mapped,date_accession_GO,py2set_bfs_35,GO_name,21,-0.08484848484848484,0.4575757575757576,0,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,source,sorted_asc,GO_numeric_int,20,0.16969696969696968,0.5848484848484848,3,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,source,bfs_obo,GO_numeric_int,20,0.16969696969696968,0.5848484848484848,3,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,source,py2set_dfs_35,GO_numeric_int,20,0.16969696969696968,0.5848484848484848,3,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,accession_GO,sorted_asc,GO_numeric_int,20,0.16969696969696968,0.5848484848484848,3,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,accession_GO,bfs_obo,GO_numeric_int,20,0.16969696969696968,0.5848484848484848,3,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,accession_GO,py2set_dfs_35,GO_numeric_int,20,0.16969696969696968,0.5848484848484848,3,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,sorted_asc,GO_numeric_int,20,0.16115702479338842,0.5805785123966942,2,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,bfs_obo,GO_numeric_int,20,0.16115702479338842,0.5805785123966942,2,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,py2set_dfs_35,GO_numeric_int,20,0.16115702479338842,0.5805785123966942,2,0,011,13302,141790,,,,,,,,
raw_hash_bucket_proxy,,,,GO_numeric_int,20,0.16088154269972452,0.5804407713498623,2,0,011,121,121,32768.0,,,,,,,15.0
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,sorted_asc,GO_numeric_int,20,0.12617079889807162,0.5630853994490358,3,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,bfs_obo,GO_numeric_int,20,0.12617079889807162,0.5630853994490358,3,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,py2set_dfs_35,GO_numeric_int,20,0.12617079889807162,0.5630853994490358,3,0,011,16357,186381,,,,,,,,
raw_hash_bucket_proxy,,,,GO_numeric_int,20,0.09889807162534435,0.5494490358126721,2,0,000,121,121,4096.0,,,,,,,12.0
raw_hash_bucket_proxy,,,,GO_name,20,0.05537190082644628,0.5276859504132232,1,0,000,121,121,128.0,,,,,,,7.0
ontology_obo_primary,,,,GO_pipe_name,20,0.02424242424242424,0.5121212121212121,3,0,010,44797,44797,,,,,,,,
ontology_sorted_primary,,,,GO_pipe_name,20,0.02424242424242424,0.5121212121212121,3,0,010,44797,44797,,,,,,,,
raw_hash_bucket_proxy,,,,MSigDB_standard_name,20,0.017079889807162532,0.5085399449035812,2,0,101,121,121,4096.0,,,,,,,12.0
raw_hash_bucket_proxy,,,,MSigDB_standard_name,20,0.009366391184573003,0.5046831955922865,2,0,010,121,121,1024.0,,,,,,,10.0
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,sorted_asc,GO_name,20,-0.008815426997245178,0.49559228650137743,2,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,bfs_obo,GO_name,20,-0.008815426997245178,0.49559228650137743,2,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_historical_mapped,date_accession_GO,py2set_dfs_35,GO_name,20,-0.008815426997245178,0.49559228650137743,2,0,011,13302,141790,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,sorted_asc,GO_name,20,-0.011845730027548207,0.4940771349862259,2,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,bfs_obo,GO_name,20,-0.011845730027548207,0.4940771349862259,2,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,date_accession_GO,py2set_dfs_35,GO_name,20,-0.011845730027548207,0.4940771349862259,2,0,011,16357,186381,,,,,,,,
ontology_name_sorted,,,,MSigDB_standard_name,20,-0.022038567493112945,0.4889807162534435,0,0,001,44797,44797,,,,,,,,
ontology_obo_primary_plus_alt,,,,MSigDB_standard_name,20,-0.04159779614325069,0.4792011019283747,3,0,001,46672,46672,,,,,,,,
raw_hash_bucket_proxy,,,,GO_name,20,-0.10330578512396693,0.44834710743801653,1,0,001,121,121,262144.0,,,,,,,18.0
first_direct_then_ancestors,exact_all_accessions,source,sorted_asc,GO_numeric_int,19,0.13360881542699724,0.5668044077134986,2,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,source,bfs_obo,GO_numeric_int,19,0.13360881542699724,0.5668044077134986,2,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,source,py2set_dfs_35,GO_numeric_int,19,0.13360881542699724,0.5668044077134986,2,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,sorted_asc,GO_numeric_int,19,0.13360881542699724,0.5668044077134986,2,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,bfs_obo,GO_numeric_int,19,0.13360881542699724,0.5668044077134986,2,0,011,16357,186381,,,,,,,,
first_direct_then_ancestors,exact_all_accessions,accession_GO,py2set_dfs_35,GO_numeric_int,19,0.13360881542699724,0.5668044077134986,2,0,011,16357,186381,,,,,,,,
raw_hash_bucket_proxy,,,,GO_numeric_int,19,0.1236914600550964,0.5618457300275482,1,0,011,121,121,16384.0,,,,,,,14.0
raw_hash_bucket_proxy,,,,MSigDB_standard_name,19,0.07190082644628099,0.5359504132231405,2,0,000,121,121,524288.0,,,,,,,19.0
ontology_name_sorted,,,,namespace_pipe_GO,19,0.07079889807162534,0.5353994490358127,1,0,001,44797,44797,,,,,,,,
ontology_name_sorted,,,,GO_pipe_name,19,0.015977961432506883,0.5079889807162534,0,0,010,44797,44797,,,,,,,,
raw_hash_bucket_proxy,,,,MSigDB_standard_name,19,0.008539944903581266,0.5042699724517906,1,0,010,121,121,512.0,,,,,,,9.0
raw_hash_bucket_proxy,,,,MSigDB_standard_name,19,0.008264462809917356,0.5041322314049587,0,0,001,121,121,8192.0,,,,,,,13.0
raw_hash_bucket_proxy,,,,MSigDB_standard_name,19,0.005509641873278236,0.5027548209366391,0,0,010,121,121,256.0,,,,,,,8.0
raw_hash_bucket_proxy,,,,GO_name,19,-0.007713498622589531,0.49614325068870524,2,0,101,121,121,1024.0,,,,,,,10.0
raw_hash_bucket_proxy,,,,GO_numeric_int,19,-0.008539944903581266,0.4957300275482094,0,0,001,121,121,256.0,,,,,,,8.0
raw_hash_bucket_proxy,,,,GO_name,19,-0.020385674931129475,0.48980716253443524,2,0,100,121,121,2048.0,,,,,,,11.0
raw_hash_bucket_proxy,,,,MSigDB_standard_name,19,-0.022865013774104683,0.48856749311294767,3,0,001,121,121,131072.0,,,,,,,17.0
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,sorted_asc,MSigDB_standard_name,19,-0.027548209366391182,0.48622589531680444,1,0,000,16357,186355,,,,,,,,
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,dfs_pre_obo,MSigDB_standard_name,19,-0.027548209366391182,0.48622589531680444,1,0,000,16357,186355,,,,,,,,
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,bfs_obo,MSigDB_standard_name,19,-0.027548209366391182,0.48622589531680444,1,0,000,16357,186355,,,,,,,,
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,py2set_dfs_35,MSigDB_standard_name,19,-0.027548209366391182,0.48622589531680444,1,0,000,16357,186355,,,,,,,,
direct_dict_then_propagate_py2keys,exact_all_accessions,date_accession_GO,py2set_bfs_35,MSigDB_standard_name,19,-0.027548209366391182,0.48622589531680444,1,0,000,16357,186355,,,,,,,,
ontology_obo_primary,,,,MSigDB_standard_name,19,-0.029752066115702476,0.48512396694214877,1,0,001,44797,44797,,,,,,,,
ontology_sorted_primary,,,,MSigDB_standard_name,19,-0.029752066115702476,0.48512396694214877,1,0,001,44797,44797,,,,,,,,
raw_hash_bucket_proxy,,,,GO_name,19,-0.034159779614325064,0.4829201101928375,0,0,011,121,121,32768.0,,,,,,,15.0
