file_kind,category,value,count
GAF,Date,20120730,142
GAF,Date,20141107,142
GAF,Date,20150522,142
GAF,Date,20150806,142
GAF,Date,20111206,141
GAF,Date,20120824,141
GAF,Date,20091117,140
GAF,Date,20110915,140
GAF,Date,20140514,140
GAF,Date,20051221,139
GAF,Date,20110121,139
GAF,Date,20120921,139
GAF,Date,20130517,139
GAF,Date,20061120,138
GAF,Date,20110624,138
GAF,Date,20110804,138
GAF,Date,20131209,138
GAF,Date,20110629,137
GAF,Date,20140515,137
GAF,Date,20140901,137
GAF,Date,20150429,137
GAF,Date,20150527,137
GAF,Date,20110926,136
GAF,Date,20090115,135
GAF,Date,20130130,135
GAF,Date,20140305,135
GAF,Date,20140813,134
GAF,Date,20150324,134
GAF,Date,20111103,133
GAF,Date,20151008,133
GAF,Date,20151102,133
GAF,Date,20140530,131
GAF,Date,20150708,131
GAF,Date,20100114,130
GAF,Date,20121022,130
GAF,Date,20150318,130
GAF,Date,20150519,130
GAF,Date,20070514,129
GAF,Date,20110719,129
GAF,Date,20120925,129
GAF,Date,20141031,129
GAF,Date,20150401,129
GAF,Date,20150715,129
GAF,Date,20091204,128
GAF,Date,20120120,128
GAF,Date,20150223,128
GAF,Date,20091119,127
GAF,Date,20100127,127
GAF,Date,20111104,127
GAF,Date,20131204,127
GAF,Date,20150623,127
GAF,Date,20150710,127
GAF,Date,20160209,127
GAF,Date,20160526,127
GAF,Date,20091203,126
GAF,Date,20101104,126
GAF,Date,20120112,126
GAF,Date,20120928,126
GAF,Date,20150723,126
GAF,Date,20160106,126
GAF,Date,20060111,125
GAF,Date,20110415,125
GAF,Date,20080926,124
GAF,Date,20091216,124
GAF,Date,20110418,124
GAF,Date,20120307,124
GAF,Date,20141209,124
GAF,Date,20151029,124
GAF,Date,20111130,123
GAF,Date,20151211,123
GAF,Date,20061024,122
GAF,Date,20100903,122
GAF,Date,20130624,122
GAF,Date,20150701,122
GAF,Date,20151127,122
GAF,Date,20100205,121
GAF,Date,20111117,121
GAF,Date,20130911,121
GAF,Date,20110912,120
GAF,Date,20120430,120
GAF,Date,20130830,120
GAF,Date,20130910,120
GAF,Date,20140912,120
GAF,Date,20100217,119
GAF,Date,20131210,119
GAF,Date,20140205,119
GAF,Date,20140522,119
GAF,Date,20150508,119
GAF,Date,20120427,118
GAF,Date,20150902,118
