source_name,mapping_strategy,evidence_filter,term_scope,comparison_scope,candidate_GO_terms,comparison_genes,label_columns,exact_matches,agreement_at_least_99_percent,agreement_at_least_95_percent,median_best_agreement,mean_best_agreement,minimum_mismatch_genes,mean_mismatch_genes
GOA human GAF v159 direct BP annotations,all_names_union,all_except_IEA_ND_NAS,all_bp,all_4268_resolved_genes,7126,4268,121,0,0,0,0.8160731021555764,0.7584019456729689,287,1031.1404958677685
GOA human GAF v159 direct BP annotations,all_names_union,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,all_4268_resolved_genes,2980,4268,121,0,0,0,0.8160731021555764,0.7578036047619416,287,1033.6942148760331
GOA human GAF v159 direct BP annotations,all_names_union,exclude_IEA,all_bp,all_4268_resolved_genes,7213,4268,121,0,0,0,0.8160731021555764,0.7582702719449759,289,1031.702479338843
GOA human GAF v159 direct BP annotations,all_names_union,exclude_IEA,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3003,4268,121,0,0,0,0.8160731021555764,0.7577048494659469,289,1034.1157024793388
GOA human GAF v159 direct BP annotations,all_names_union,exclude_IEA_ND,all_bp,all_4268_resolved_genes,7212,4268,121,0,0,0,0.8160731021555764,0.7582702719449759,289,1031.702479338843
GOA human GAF v159 direct BP annotations,all_names_union,exclude_IEA_ND,msigdb_v52_c5bp_terms,all_4268_resolved_genes,3003,4268,121,0,0,0,0.8160731021555764,0.7577048494659469,289,1034.1157024793388
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,all_except_IEA_ND_NAS,all_bp,mapping_covered_genes_only,7125,4251,121,0,0,0,0.8160432839331921,0.7591446640654314,280,1023.8760330578513
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2980,4251,121,0,0,0,0.8160432839331921,0.7585380979876393,280,1026.4545454545455
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,exclude_IEA,all_bp,mapping_covered_genes_only,7212,4251,121,0,0,0,0.8160432839331921,0.7590474579632212,282,1024.2892561983472
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,exclude_IEA,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3003,4251,121,0,0,0,0.8160432839331921,0.7584739419601805,282,1026.7272727272727
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,exclude_IEA_ND,all_bp,mapping_covered_genes_only,7211,4251,121,0,0,0,0.8160432839331921,0.7590474579632212,282,1024.2892561983472
GOA human GAF v159 direct BP annotations,primary_then_synonym_unique,exclude_IEA_ND,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3003,4251,121,0,0,0,0.8160432839331921,0.7584739419601805,282,1026.7272727272727
GOA human GAF v159 direct BP annotations,all_names_union,all_except_IEA_ND_NAS,all_bp,mapping_covered_genes_only,7126,4267,121,0,0,0,0.8160299976564331,0.758345325552433,287,1031.1404958677685
GOA human GAF v159 direct BP annotations,all_names_union,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2980,4267,121,0,0,0,0.8160299976564331,0.7577468444162098,287,1033.6942148760331
GOA human GAF v159 direct BP annotations,all_names_union,exclude_IEA,all_bp,mapping_covered_genes_only,7213,4267,121,0,0,0,0.8160299976564331,0.7582136209658207,289,1031.702479338843
GOA human GAF v159 direct BP annotations,all_names_union,exclude_IEA,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3003,4267,121,0,0,0,0.8160299976564331,0.7576480659762506,289,1034.1157024793388
GOA human GAF v159 direct BP annotations,all_names_union,exclude_IEA_ND,all_bp,mapping_covered_genes_only,7212,4267,121,0,0,0,0.8160299976564331,0.7582136209658207,289,1031.702479338843
GOA human GAF v159 direct BP annotations,all_names_union,exclude_IEA_ND,msigdb_v52_c5bp_terms,mapping_covered_genes_only,3003,4267,121,0,0,0,0.8160299976564331,0.7576480659762506,289,1034.1157024793388
GOA human GAF v159 direct BP annotations,primary_symbol_unique,all_except_IEA_ND_NAS,all_bp,mapping_covered_genes_only,7070,4183,121,0,0,0,0.8159215873774803,0.7592557834445997,271,1007.0330578512396
GOA human GAF v159 direct BP annotations,primary_symbol_unique,all_except_IEA_ND_NAS,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2966,4183,121,0,0,0,0.8159215873774803,0.7586294782304606,274,1009.6528925619834
GOA human GAF v159 direct BP annotations,primary_symbol_unique,exclude_IEA,all_bp,mapping_covered_genes_only,7158,4183,121,0,0,0,0.8159215873774803,0.7591530456807661,272,1007.4628099173553
GOA human GAF v159 direct BP annotations,primary_symbol_unique,exclude_IEA,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2989,4183,121,0,0,0,0.8159215873774803,0.7585563763600406,276,1009.9586776859504
GOA human GAF v159 direct BP annotations,primary_symbol_unique,exclude_IEA_ND,all_bp,mapping_covered_genes_only,7157,4183,121,0,0,0,0.8159215873774803,0.7591530456807661,272,1007.4628099173553
GOA human GAF v159 direct BP annotations,primary_symbol_unique,exclude_IEA_ND,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2989,4183,121,0,0,0,0.8159215873774803,0.7585563763600406,276,1009.9586776859504
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_IBA_ISS_IC,all_bp,mapping_covered_genes_only,6748,4253,121,0,0,0,0.8158946625911121,0.758638044511118,274,1026.5123966942149
GOA human GAF v159 direct BP annotations,fallback_synonym_union,experimental_plus_IBA_ISS_IC,msigdb_v52_c5bp_terms,mapping_covered_genes_only,2826,4253,121,0,0,0,0.8158946625911121,0.7581755610526746,274,1028.4793388429753
