universe,heldout_tissues,heldout_indices,random_samples_conditional,optimized_mean_wup,random_mean_mean_wup,difference_mean_wup,optimized_max_wup,random_mean_max_wup,difference_max_wup,optimized_row_overlap,random_mean_row_overlap,difference_row_overlap,optimized_unique_overlap,random_mean_unique_overlap,difference_unique_overlap,optimized_lookup_micro_f1,random_mean_lookup_micro_f1,difference_lookup_micro_f1,optimized_training_node_total,random_mean_training_node_total,difference_training_node_total,optimized_training_edge_total,random_mean_training_edge_total,difference_training_edge_total
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|lung,27|55|65|70,43,0.200936285936,0.23236901954162953,-0.03143273360562954,0.333333333333,0.3333333432674408,-9.934440770020814e-09,0.982917330501,0.9856323613676914,-0.002715030866691337,0.953884161405,0.9615956697353097,-0.007711508330309758,0.992857458433,0.9938589570134185,-0.0010014985804185361,43385.0,44299.558139534885,-914.5581395348854,610356.0,619464.4186046511,-9108.418604651117
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|lymph_node,27|55|65|71,39,0.206055056055,0.2339708266349939,-0.02791577057999392,0.333333333333,0.3333333432674408,-9.934440770020814e-09,0.984712402064,0.9856948256492615,-0.0009824235852614605,0.958699472759,0.9615534803806207,-0.002854007621620691,0.993229573307,0.9938125029588357,-0.0005829296518357063,43635.0,44517.46153846154,-882.461538461539,606431.0,620643.4102564103,-14212.41025641025
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|lymphocyte,27|55|65|72,27,0.199371531247,0.22607603558787592,-0.02670450434087593,0.285714285714,0.2857142984867096,-1.2772709612196564e-08,0.978179082017,0.9810216537228337,-0.0028425717058336852,0.944476244991,0.9523097762355098,-0.007833531244509806,0.989901524991,0.9917888442675272,-0.0018873192765271884,43635.0,44468.25925925926,-833.2592592592628,606431.0,620680.7037037037,-14249.703703703708
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|ovary,27|55|65|94,36,0.208876817627,0.22339787830909094,-0.014521060682090942,0.285714285714,0.2857142984867096,-1.2772709612196564e-08,0.988217025941,0.9867657141553031,0.0014513117856969071,0.967110859087,0.9621806326839659,0.004930226403034088,0.994783286404,0.9942275285720825,0.0005557578319175249,44818.0,44581.25,236.75,631540.0,626324.7222222222,5215.277777777752
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|pancreas,27|55|65|96,39,0.189611430236,0.21789294404861254,-0.02828151381261254,0.285714285714,0.2857142984867096,-1.2772709612196564e-08,0.983373775501,0.9866575415317829,-0.003283766030782842,0.952433936022,0.9620270316417401,-0.009593095619740089,0.993537994578,0.9946431257785895,-0.0011051312005895264,43385.0,44224.53846153846,-839.538461538461,610356.0,620035.2307692308,-9679.230769230751
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|placenta,27|55|65|100,44,0.208876817627,0.22461584278128363,-0.01573902515428363,0.285714285714,0.2857142984867096,-1.2772709612196564e-08,0.992067029147,0.9891985194249586,0.0028685097220413347,0.976242490442,0.968943942676891,0.007298547765108965,0.99651049007,0.995389839464968,0.0011206506050320808,44818.0,44742.40909090909,75.59090909091174,631540.0,628788.3636363636,2751.636363636353
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|prostate_gland,27|55|65|103,36,0.208876817627,0.22453740860025087,-0.01566059097325087,0.285714285714,0.2857142984867096,-1.2772709612196564e-08,0.989518597533,0.9895623988575406,-4.3801324540626574e-05,0.970511708586,0.9701503300004535,0.00036137858554652347,0.99523592832,0.995364914337794,-0.0001289860177939861,44818.0,44711.77777777778,106.22222222221899,631540.0,628022.8888888889,3517.111111111124
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|skeletal_muscle,27|55|65|109,32,0.200936285936,0.23162007424980402,-0.030683788313804028,0.333333333333,0.3333333432674408,-9.934440770020814e-09,0.984210526316,0.9882798362523317,-0.0040693099363317,0.954058624577,0.9656936973333359,-0.011635072756335907,0.993565129092,0.9949960187077522,-0.0014308896157522177,43385.0,44429.0625,-1044.0625,610356.0,623581.625,-13225.625
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|skin,27|55|65|110,36,0.200936285936,0.23414859796563783,-0.03321231202963784,0.333333333333,0.3333333432674408,-9.934440770020814e-09,0.982856066315,0.9851979249053531,-0.002341858590353074,0.952706552707,0.9595283302995894,-0.006821777592589395,0.993000682608,0.9937939196825027,-0.0007932370745027395,43385.0,44398.666666666664,-1013.6666666666642,610356.0,622699.0555555555,-12343.055555555504
all144,cerebral_cortex|hematopoietic_stem_cell|large_intestine|spleen,27|55|65|118,36,0.206055056055,0.23347715702321795,-0.027422100968217955,0.333333333333,0.3333333432674408,-9.934440770020814e-09,0.983035471287,0.9850262585613463,-0.0019907872743463173,0.954389965792,0.9604237890905805,-0.006033823298580487,0.992612525259,0.9936279786957635,-0.0010154534367634582,43635.0,44530.27777777778,-895.277777777781,606431.0,621746.25,-15315.25
