universe,method,metric,n,mean,sd,q0,q0.01,q0.05,q0.1,q0.25,q0.5,q0.75,q0.9,q0.95,q0.99,q1
all144,ancestor_blocked_mean_wup,mean_heldout_nearest_distance,58905,7.420431202784144,0.6761769866334081,5.25,6.0,6.25,6.5,7.0,7.5,7.75,8.25,8.5,9.25,10.5
all144,ancestor_blocked_mean_wup,ancestor_descendant_pairs,58905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all144,ancestor_blocked_mean_wup,train_branch_count,58905,5.163755199049317,1.4583167646496311,2.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,8.0,8.0,9.0
all144,ancestor_blocked_mean_wup,heldout_branch_count,58905,3.3479161361514302,0.6706812725191458,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0
all144,ancestor_blocked_mean_wup,training_node_total,58905,40131.07564722859,1344.5551418291946,35041.0,37394.0,38255.0,38758.0,39197.0,39852.0,40920.0,42193.0,42722.0,43013.0,44108.0
all144,ancestor_blocked_mean_wup,training_edge_total,58905,536392.1330447331,23398.834551885247,440095.0,485453.52,505438.0,511321.0,520697.0,531213.0,550044.0,571577.0,582676.0,589278.0,611404.0
all144,ancestor_blocked_mean_wup,heldout_node_total,58905,11575.0,648.9467609494542,9817.0,10212.0,10539.0,10740.0,11112.0,11556.0,12016.0,12435.0,12680.0,13123.96,14042.0
all144,ancestor_blocked_mean_wup,heldout_edge_total,58905,178038.33333333334,12141.317222704858,143094.0,151800.0,158421.4,162286.0,169413.0,177821.0,186366.0,194047.6,198468.8,206390.8,220449.0
all144,ancestor_blocked_mean_wup,training_internal_layers,58905,4.528953399541635,0.6467785744727593,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0
all144,ancestor_blocked_mean_wup,heldout_internal_layers,58905,2.3333333333333335,0.9428170444769445,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0
all144,ancestor_blocked_mean_wup,row_overlap,58905,0.9528119797197271,0.0319560326391724,0.819608137527,0.85881372868,0.8789776310538,0.8958857386422,0.94545175169,0.962368421053,0.974873074606,0.9813716802201999,0.984213669951,0.98861656104428,0.997522629824
all144,ancestor_blocked_mean_wup,unique_overlap,58905,0.9003539697335882,0.05221443809358525,0.714215323971,0.76375132340312,0.7903844465236001,0.8087325174602,0.881452210422,0.912344983089,0.938212675683,0.9551823248262,0.9612263975858,0.97124574910824,0.99234393404
all144,ancestor_blocked_mean_wup,positive_coverage,58905,0.9624554903398209,0.028898900211490584,0.841744379719,0.87687787427788,0.8944094351762,0.9094255829248,0.958371384014,0.972861481089,0.981681238228,0.9862178121548,0.9881901274682,0.99143509681296,0.998237612525
all144,ancestor_blocked_mean_wup,lookup_micro_f1,58905,0.9806422819028702,0.01537112899944536,0.914072972328,0.9344005662560799,0.9442620149238,0.9525645733952001,0.978743247412,0.986244082937,0.990755949333,0.9930610893928,0.9940599883442001,0.99569913013976,0.999118029075
all144,branch_distinct_mean_wup,mean_wup,26830,0.20276155714749688,0.014351747777833976,0.16503816649,0.17644008769,0.181981664169,0.185676545677,0.192045038295,0.2007572982575,0.211431207681,0.222126276501,0.229842726718,0.241291486291,0.272084235209
all144,branch_distinct_mean_wup,max_wup,26830,0.25828597997427094,0.026164465292446856,0.181818181818,0.222222222222,0.222222222222,0.222222222222,0.25,0.25,0.285714285714,0.285714285714,0.285714285714,0.333333333333,0.333333333333
