universe,null,block,start,end,metric,mean
all144,matched_stratified,11,550000,600000,role_min_f1,0.9897139484286308
all144,matched_stratified,11,550000,600000,train_nodes,44825.31092
all144,matched_stratified,11,550000,600000,train_edges,627389.82312
all144,matched_stratified,12,600000,650000,mean_wup,0.24774209118455648
all144,matched_stratified,12,600000,650000,row_overlap,0.9796823253548145
all144,matched_stratified,12,600000,650000,f1,0.9920915784430504
all144,matched_stratified,12,600000,650000,role_min_f1,0.9897399780058861
all144,matched_stratified,12,600000,650000,train_nodes,44827.2073
all144,matched_stratified,12,600000,650000,train_edges,627410.38184
all144,matched_stratified,13,650000,700000,mean_wup,0.24783451498895884
all144,matched_stratified,13,650000,700000,row_overlap,0.9796916860425472
all144,matched_stratified,13,650000,700000,f1,0.9920937465167046
all144,matched_stratified,13,650000,700000,role_min_f1,0.9897407075178624
all144,matched_stratified,13,650000,700000,train_nodes,44826.07844
all144,matched_stratified,13,650000,700000,train_edges,627461.93702
all144,matched_stratified,14,700000,750000,mean_wup,0.24780007232934237
all144,matched_stratified,14,700000,750000,row_overlap,0.9797460185837745
all144,matched_stratified,14,700000,750000,f1,0.9921175028598308
all144,matched_stratified,14,700000,750000,role_min_f1,0.9897716751837731
all144,matched_stratified,14,700000,750000,train_nodes,44826.03884
all144,matched_stratified,14,700000,750000,train_edges,627403.48914
all144,matched_stratified,15,750000,800000,mean_wup,0.24771803299456835
all144,matched_stratified,15,750000,800000,row_overlap,0.9796339864671231
all144,matched_stratified,15,750000,800000,f1,0.9920676624202728
all144,matched_stratified,15,750000,800000,role_min_f1,0.9897173185181618
all144,matched_stratified,15,750000,800000,train_nodes,44822.09238
all144,matched_stratified,15,750000,800000,train_edges,627351.74896
all144,matched_stratified,16,800000,850000,mean_wup,0.2477892006549239
all144,matched_stratified,16,800000,850000,row_overlap,0.9796575446867943
all144,matched_stratified,16,800000,850000,f1,0.9920811616289615
all144,matched_stratified,16,800000,850000,role_min_f1,0.9897326737356186
all144,matched_stratified,16,800000,850000,train_nodes,44818.76446
all144,matched_stratified,16,800000,850000,train_edges,627331.49208
all144,matched_stratified,17,850000,900000,mean_wup,0.24773195730000735
all144,matched_stratified,17,850000,900000,row_overlap,0.9797168954539299
all144,matched_stratified,17,850000,900000,f1,0.992101845676899
