heldout_tissues,heldout_indices,K,available,max_standardized_squared_distance,optimized_mean_wup,matched_random_mean_mean_wup,difference_mean_wup,optimized_row_overlap,matched_random_mean_row_overlap,difference_row_overlap,optimized_unique_overlap,matched_random_mean_unique_overlap,difference_unique_overlap,optimized_lookup_micro_f1,matched_random_mean_lookup_micro_f1,difference_lookup_micro_f1,optimized_training_node_total,matched_random_mean_training_node_total,difference_training_node_total,optimized_training_edge_total,matched_random_mean_training_edge_total,difference_training_edge_total
corpus_striatum|pancreas|skeletal_muscle|skin,35|96|109|110,50,903,0.04454110698635883,0.209919386169,0.24369363486766815,-0.03377424869866816,0.986426163797,0.9850195050239563,0.0014066587730436897,0.963484761357,0.959896445274353,0.0035883160826469807,0.995241508207,0.9940882921218872,0.0011532160851127626,41730.0,41732.68,-2.680000000000291,566649.0,566749.02,-100.02000000001863
corpus_striatum|pancreas|skeletal_muscle|skin,35|96|109|110,100,903,0.09582610157594237,0.209919386169,0.24393150210380554,-0.03401211593480555,0.986426163797,0.9853038787841797,0.001122285012820301,0.963484761357,0.9603105783462524,0.0031741830107475666,0.995241508207,0.9941746592521667,0.0010668489548332216,41730.0,41728.68,1.319999999999709,566649.0,566944.74,-295.7399999999907
corpus_striatum|pancreas|skeletal_muscle|skin,35|96|109|110,200,903,0.20989211966826757,0.209919386169,0.24422892928123474,-0.03430954311223475,0.986426163797,0.9852082133293152,0.001217950467684803,0.963484761357,0.9599841833114624,0.0035005780455376057,0.995241508207,0.9941469430923462,0.0010945651146537783,41730.0,41717.79,12.209999999999127,566649.0,566763.46,-114.45999999996275
corpus_striatum|pancreas|skeletal_muscle|testis,35|96|109|126,25,920,0.02333161672207798,0.21570492008,0.2359253317117691,-0.020220411631769103,0.978558354397,0.9790918827056885,-0.000533528308688469,0.94531472515,0.944380521774292,0.0009342033757080426,0.99170094292,0.991366446018219,0.00033449690178100067,41375.0,41377.32,-2.319999999999709,561364.0,561332.92,31.07999999995809
corpus_striatum|pancreas|skeletal_muscle|testis,35|96|109|126,50,920,0.04469538722828146,0.21570492008,0.23529155552387238,-0.019586635443872374,0.978558354397,0.9798065423965454,-0.0012481879995454026,0.94531472515,0.9462090134620667,-0.0008942883120666156,0.99170094292,0.9916401505470276,6.0792372972406916e-05,41375.0,41387.8,-12.80000000000291,561364.0,561210.58,153.4200000000419
corpus_striatum|pancreas|skeletal_muscle|testis,35|96|109|126,100,920,0.11098333095103136,0.21570492008,0.2351091206073761,-0.019404200527376098,0.978558354397,0.9804226756095886,-0.0018643212125886155,0.94531472515,0.9475136399269104,-0.0021989147769103656,0.99170094292,0.9918792843818665,-0.00017834146186646027,41375.0,41380.9,-5.900000000001455,561364.0,560962.43,401.5699999999488
corpus_striatum|pancreas|skeletal_muscle|testis,35|96|109|126,200,920,0.3268156650824206,0.21570492008,0.23528023064136505,-0.01957531056136505,0.978558354397,0.9807373881340027,-0.002179033737002678,0.94531472515,0.9484108090400696,-0.0030960838900695453,0.99170094292,0.9920262098312378,-0.00032526691123779816,41375.0,41390.34,-15.339999999996508,561364.0,560707.54,656.4599999999627
corpus_striatum|pancreas|skin|testis,35|96|110|126,25,942,0.015652263292753807,0.217003621379,0.23701128363609314,-0.020007662257093134,0.978588851748,0.9780828952789307,0.0005059564690693685,0.942227183924,0.9400725364685059,0.0021546474554940964,0.991247912527,0.9909055829048157,0.00034232962218427865,41677.0,41672.32,4.680000000000291,566631.0,566463.36,167.64000000001397
corpus_striatum|pancreas|skin|testis,35|96|110|126,50,942,0.03630446878620779,0.217003621379,0.23793984949588776,-0.02093622811688775,0.978588851748,0.9783088564872742,0.00027999526072586267,0.942227183924,0.9403349161148071,0.0018922678091928269,0.991247912527,0.9909995198249817,0.000248392702018263,41677.0,41680.74,-3.7399999999979627,566631.0,566579.6,51.40000000002328
corpus_striatum|pancreas|skin|testis,35|96|110|126,100,942,0.07291418777628103,0.217003621379,0.2379366159439087,-0.020932994564908686,0.978588851748,0.9782564640045166,0.00033238774348343103,0.942227183924,0.9402428269386292,0.0019843569853708054,0.991247912527,0.9909902811050415,0.00025763142195844857,41677.0,41662.86,14.139999999999418,566631.0,566598.64,32.35999999998603
