source_type,version,label_column,observed_positive_genes,best_name,best_go_id,best_collection,best_subcollection,best_source_member,best_candidate_positive_genes,mismatch_genes,agreement,true_positives,false_positives,false_negatives,f1,jaccard,tie_count,tied_names,best_go_in_greene_table6,best_go_in_greene_table9
MSigDB 5.1 all collections,5.1,30,2793,SIGNAL_TRANSDUCTION,GO:0007165,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,909,2152,0.4957825679475164,775,134,2018,0.41869259859535385,0.26477622138708573,1,SIGNAL_TRANSDUCTION,False,False
MSigDB 5.1 all collections,5.1,31,613,SUBSTRATE_SPECIFIC_TRANSPORTER_ACTIVITY,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,137,570,0.866447985004686,90,47,523,0.24,0.13636363636363635,1,SUBSTRATE_SPECIFIC_TRANSPORTER_ACTIVITY,False,False
MSigDB 5.1 all collections,5.1,32,3696,CYTOPLASM,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,934,2896,0.3214620431115276,867,67,2829,0.37451403887688983,0.23040127557799628,1,CYTOPLASM,False,False
MSigDB 5.1 all collections,5.1,33,657,RESPONSE_TO_HORMONE_STIMULUS,GO:0009725,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,27,642,0.8495782567947516,21,6,636,0.06140350877192982,0.03167420814479638,2,RESPONSE_TO_HORMONE_STIMULUS|RESPONSE_TO_ORGANIC_SUBSTANCE,False,False
MSigDB 5.1 all collections,5.1,34,819,REGULATION_OF_KINASE_ACTIVITY,GO:0043549,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,102,769,0.819821930646673,76,26,743,0.16503800217155265,0.08994082840236686,3,REGULATION_OF_KINASE_ACTIVITY|REGULATION_OF_PROTEIN_KINASE_ACTIVITY|REGULATION_OF_TRANSFERASE_ACTIVITY,False,False
MSigDB 5.1 all collections,5.1,35,1253,MACROMOLECULAR_COMPLEX,,C5,,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.all.v5.1.entrez.gmt,470,993,0.7673383317713215,365,105,888,0.4236796285548462,0.26877761413843887,1,MACROMOLECULAR_COMPLEX,False,False
MSigDB 5.1 all collections,5.1,36,746,REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION_AND_BIOGENESIS,GO:0051128,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,87,713,0.8329428303655108,60,27,686,0.14405762304921968,0.07761966364812418,1,REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION_AND_BIOGENESIS,False,False
MSigDB 5.1 all collections,5.1,37,819,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS,GO:0031324,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,171,706,0.8345829428303655,142,29,677,0.2868686868686869,0.16745283018867924,2,NEGATIVE_REGULATION_OF_CELLULAR_METABOLIC_PROCESS|NEGATIVE_REGULATION_OF_METABOLIC_PROCESS,False,False
MSigDB 5.1 all collections,5.1,38,1626,REGULATION_OF_METABOLIC_PROCESS,GO:0019222,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,509,1307,0.6937675726335519,414,95,1212,0.3878220140515222,0.24055781522370714,1,REGULATION_OF_METABOLIC_PROCESS,False,False
MSigDB 5.1 all collections,5.1,39,742,PROTEIN_MODIFICATION_PROCESS,GO:0006464,C5,BP,msigdb_v5.1_files_to_download_locally/msigdb_v5.1_GMTs/c5.bp.v5.1.entrez.gmt,362,592,0.8612933458294283,256,106,486,0.463768115942029,0.3018867924528302,1,PROTEIN_MODIFICATION_PROCESS,False,False
