artifact_name,relative_path,size_bytes,sha256,mtime_utc,file_suffixes,direct_or_canonical_source_url,source_page_url,obtained_from,acquired_at_utc,provenance_notes
Greene2015.pdf,Greene2015.pdf,1729378,15c734d37bf63dc586d9bfb95673612209a2f2d298a0a1dc84fa63a1d7a17ce2,2026-08-16T13:32:47.063906+00:00,.pdf,,,,,
Greene2015_sup.pdf,Greene2015_sup.pdf,6701167,89e84c545590a3d34890f24cf6543a336b59cace8926a83701f503afcd979ed9,2026-08-16T13:33:01.190981+00:00,.pdf,,,,,
Greene2015_Table6.xlsx,Greene2015_Table6.xlsx,37992,691b9d895ac6d0f6ed7abedb96d9b206965fe221e3ccdae940b4daa5db50533e,2026-08-16T13:34:37.025264+00:00,.xlsx,,,,,
Greene2015_Table9.xlsx,Greene2015_Table9.xlsx,140272,18ae68f28d9b84f4b1cb7f7c7c1cc8eb76716414de2089a329f070a5aeca6cd5,2026-08-16T13:34:47.760134+00:00,.xlsx,,,,,
HuamnBase-kidney.dat,HuamnBase-kidney.dat,8897160,0f3325ba6e87344bd119a16c677d224fa2d98d7142be86f34ef7f2aa5f8f3b4d,2026-08-16T21:44:25.892627+00:00,.dat,,,,,
HumanBase-blood.dat,HumanBase-blood.dat,8401428,d3b9ab9b697fba7761e4a13fcc38a3b9d493d42dd31a06d88f45886eac63fbd5,2026-08-16T21:43:58.782107+00:00,.dat,,,,,
HumanBase-blood_top.gz,HumanBase-blood_top.gz,182612266,49dc41f1ab89c4e25e907e00218bde38d3ecc9f80c57ebdb79fe5f9c6a850f84,2026-08-16T21:47:17.561749+00:00,.gz,,,,,
investigation_summary_2026_08_23.md,investigation_summary_2026_08_23.md,13819,fe23f5d35c1c3a21bba13c2241e0c8c783c31a0a31026c8e5f1c0d7a8c320d16,2026-08-24T02:59:16.421054+00:00,.md,,,,,
local_upload_inventory_20260827T145903Z.csv,local_upload_inventory_20260827T145903Z.csv,3452,dae73b7f54d28a089917ba8cf5b7a7f62b2ea0496cba097f3c1e1bfd94e0e9df,2026-08-27T14:59:03.759279+00:00,.csv,,,,,
make_local_inventory.py,make_local_inventory.py,7070,77a77f3fd6cc3e1e22cf5731002cab3a8a66a540f33fc58fdb2922c624b2599b,2026-08-27T14:54:56.728436+00:00,.py,,,,,
make_local_inventory_v2.py,make_local_inventory_v2.py,9202,a5fd20e62d0a9ad765436683b1d6bb294f07fc62a10f74b2187d40600c75cc88,2026-08-27T14:58:53.905311+00:00,.py,,,,,
msigdb_v5.0_files_to_download_locally.zip,msigdb_v5.0_files_to_download_locally.zip,115484475,d372fc23f229cbb79656d824e0519587db6110963d22d1f4c95e5154963a32d2,2026-08-15T20:04:36.298042+00:00,.0_files_to_download_locally.zip,,,,,
msigdb_v5.1_files_to_download_locally.zip,msigdb_v5.1_files_to_download_locally.zip,69702250,5a8b3f10ea92f8e71eaaa0705ab9d3a5229d838864eec9699544b75884bc9e29,2026-08-15T14:17:37.200647+00:00,.1_files_to_download_locally.zip,,,,,
msigdb_v5.2_chip_files_to_download_locally.zip,msigdb_v5.2_chip_files_to_download_locally.zip,67891640,252befc853b5e01cfe99439ec50a7ab8de747cd0abe6224a93077f2d9b0b20fc,2026-08-15T13:53:23.008385+00:00,.2_chip_files_to_download_locally.zip,,,,,
msigdb_v5.2_files_to_download_locally.zip,msigdb_v5.2_files_to_download_locally.zip,92768160,a618c1c60b11570036034e6357e73e80ee43065ec7a57c1dbd238f205405fbdb,2026-08-15T13:53:10.950440+00:00,.2_files_to_download_locally.zip,,,,,
msigdb_v6.0_files_to_download_locally.zip,msigdb_v6.0_files_to_download_locally.zip,72144318,39fa82c4cedc9183c532afb1c1431683536b5945e50fb8be4f5bcce3ac136edf,2026-08-15T14:17:44.412135+00:00,.0_files_to_download_locally.zip,,,,,
ohmnet-master.zip,ohmnet-master.zip,1092580,4cfcbb9dc07f915dbd6ca9a78ff8f96da811922f2b01606e4610fa0d3d784e2d,2026-08-15T14:35:24.482894+00:00,.zip,,,,,
OhmNet.pdf,OhmNet.pdf,1458562,e60daf8341d0e322ce58e7c6ad194f7e4b573df7c8aba1716ad78c98992b02fe,2026-08-16T13:31:22.603472+00:00,.pdf,,,,,
requested_file_patterns.txt,requested_file_patterns.txt,1164,a6adad481b98e095cc34fd4afab974d5f94484a42072c971b7d2beeffa009e00,2026-08-27T14:55:18.458721+00:00,.txt,,,,,
sample_giant_network.sh,sample_giant_network.sh,2110,45a304a3746cda1a0d70bd0826b29e000b61e08dddb71cc53c000c8dabbd3013,2026-08-17T21:09:35.302330+00:00,.sh,,,,,
train_graph_id.npy,train_graph_id.npy,455680,6644db266babae6e2fd955bd9912c76b7b1ca86cefee4bad7957f2ffc87cb761,2026-08-15T04:05:44.244046+00:00,.npy,,,,,
